issue_number,title,created_at,closed_at,in_progress_at,dependency_latest_closed_at,lead_time_hours,cycle_time_hours,slack_time_hours,dependency_latency_hours
24,Apply documentation hygiene to all Sprint 03 artifacts,2026-01-18T20:44:03Z,,,,,,,
23,Update experiment template to include MLflow logging hooks,2026-01-18T20:43:20Z,,,,,,,
22,Scaffold Governance Automation domain + seed experiment backlog,2026-01-18T20:42:48Z,,,,,,,
21,Produce Governance Report (PDF) for Sprint 01–03,2026-01-18T20:42:17Z,,,,,,,
20,Integrate AzureML for governance datasets + simple pipeline,2026-01-18T20:41:43Z,,,,,,,
19,"Execute EXP‑002 with full MLflow tracking (parameters, metrics, artifacts)",2026-01-18T20:41:11Z,,,,,,,
18,Automate nightly governance metric extraction (GitHub Actions),2026-01-18T20:40:42Z,,,,,,,
17,Build Governance Dashboard Generator (visualizations + time‑series datasets),2026-01-18T20:40:08Z,,,,,,,
16,"Build Governance Metrics Extractor (cycle time, lead time, throughput)",2026-01-18T20:39:34Z,,,,,,,
15,Sprint 03 – Quantitative Governance & Automation,2026-01-18T10:29:54Z,,2026-01-18T10:29:54+00:00,,,,0.0,
14,Create initial Digital Ethics domain artifact(s),2026-01-12T20:43:26Z,2026-01-18T01:04:53Z,,,124.3575,,,
13,Scaffold /domains/digital-ethics/ directory,2026-01-12T20:41:20Z,2026-01-18T00:12:09Z,,,123.51361111111112,,,
12,Produce initial analysis artifact(s),2026-01-12T20:40:10Z,2026-01-16T02:20:47Z,,,77.67694444444444,,,
11,Capture reproducibility notes and metadata,2026-01-12T20:39:03Z,2026-01-16T01:55:06Z,,,77.2675,,,
10,Execute first experiment run,2026-01-12T20:37:50Z,2026-01-16T01:52:39Z,,,77.24694444444444,,,
9,Create first experiment log using the template,2026-01-12T20:36:40Z,2026-01-16T01:41:53Z,,,77.08694444444444,,,
8,Design first experiment for the Research Lab,2026-01-12T20:33:32Z,2026-01-16T00:24:51Z,,,75.85527777777777,,,
7,Initialize Sprint 02 metrics,2026-01-12T20:31:15Z,2026-01-14T10:05:38Z,,,37.573055555555555,,,
6,Update GitHub label taxonomy,2026-01-12T20:29:55Z,2026-01-14T09:38:16Z,,,37.13916666666667,,,
5,Create research workflow template,2026-01-12T20:26:46Z,2026-01-14T09:01:02Z,,,36.57111111111111,,,
4,Create experiment log template,2026-01-12T20:25:43Z,2026-01-14T08:53:28Z,,,36.4625,,,
3,Create /lab/ directory,2026-01-12T20:20:53Z,2026-01-12T21:20:17Z,,,0.99,,,
2,Sprint 02 - Activation & Operationalization,2026-01-11T11:33:46Z,2026-01-18T09:23:39Z,,,165.83138888888888,,,
1,Sprint 01 - Infrastructure & Takt Establishment (5-11 January 2026),2026-01-04T02:04:48Z,2026-01-11T10:57:33Z,,,176.87916666666666,,,
